Trial ID,DOI,Makespan,Avg. Response Time,Mean Utilization,Avg. Iteration Count,Num. Cloudlets VM-0,Num. Cloudlets VM-1,Num. Cloudlets VM-2,Num. Cloudlets VM-3,Num. Cloudlets VM-4,Num. Cloudlets VM-5,Num. Cloudlets VM-6,Num. Cloudlets VM-7,Num. Cloudlets VM-8,Num. Cloudlets VM-9,Processing Time VM-0,Processing Time VM-1,Processing Time VM-2,Processing Time VM-3,Processing Time VM-4,Processing Time VM-5,Processing Time VM-6,Processing Time VM-7,Processing Time VM-8,Processing Time VM-9
SA_Broker Trial 21,6.099269901663095,33.11,2.0859999999999994,0.7317034128662037,0.0,1,4,1,2,3,2,2,3,8,4,17.710033333333335,19.766700000000004,16.43003333333333,15.100033333333332,28.710033333333335,33.210033333333335,25.210033333333335,27.710033333333335,28.210033333333335,30.210033333333335
SA_Broker Trial 22,9.074729233793517,31.11,1.8579999999999994,0.7579770706096646,0.0,0,3,4,1,5,5,3,3,4,2,-1.0,26.87666666666667,18.96,21.21,31.21,30.21,27.21,22.71,28.21,30.21
SA_Broker Trial 23,8.84046912405294,30.44333333333333,2.077666666666666,0.7110368991569037,0.0,4,4,1,6,3,6,1,1,2,2,22.71,30.543333333333333,2.35,30.21,22.21,30.21,16.21,10.709999999999999,25.1,26.21
SA_Broker Trial 24,6.616949767229948,33.11,2.1168688888888885,0.7063257827443875,0.0,2,1,3,4,3,4,3,4,3,3,22.210033333333335,22.876700000000003,22.430033333333334,21.210033333333335,26.210033333333335,31.5875,8.210033333333332,26.710033333333335,19.21003333333333,33.210033333333335
SA_Broker Trial 25,7.450029798598123,33.11,2.001922222222222,0.6712171549380852,0.0,2,4,3,1,3,7,2,3,1,4,26.71,28.82,23.6,7.21,22.68,33.21,15.1,28.6,15.1,21.21
SA_Broker Trial 26,6.8551388753255775,33.11,1.9603777777777773,0.7340491291654083,0.0,7,1,1,3,1,1,3,5,3,5,27.710033333333335,10.543366666666666,22.430033333333334,23.210033333333335,13.600033333333332,28.210033333333335,30.210033333333335,28.710033333333335,33.210033333333335,25.210033333333335
SA_Broker Trial 27,9.90918439104125,31.110000000000003,1.8495711111111104,0.7053797278474233,0.0,3,5,7,1,2,5,3,0,1,3,31.210033333333335,22.543366666666667,26.430033333333334,30.210033333333335,29.210033333333335,28.210033333333335,26.210033333333335,-1.0,10.210033333333332,16.21003333333333
SA_Broker Trial 28,6.148498941137315,33.11,1.9648722222222217,0.7248288533172255,0.0,4,3,3,4,2,6,2,2,2,2,26.7675,17.543333333333333,13.709999999999999,24.21,24.21,33.21,30.21,23.71,30.21,16.21
SA_Broker Trial 29,8.793901448968928,33.11,1.7828149999999996,0.7144088392227929,0.0,1,3,5,4,1,4,2,5,1,4,26.210033333333335,22.54025,22.43025,30.210033333333335,1.6000333333333334,30.210033333333335,27.210033333333335,27.710033333333335,15.210033333333332,33.210033333333335
SA_Broker Trial 30,9.172598813858588,31.11,1.8156666666666663,0.7469945355191256,0.0,1,4,3,4,4,2,0,5,5,2,20.21,28.21,28.71,27.21,31.21,16.21,-1.0,26.21,25.21,30.21

