Trial ID,DOI,Makespan,Avg. Response Time,Mean Utilization,Avg. Iteration Count,Num. Cloudlets VM-0,Num. Cloudlets VM-1,Num. Cloudlets VM-2,Num. Cloudlets VM-3,Num. Cloudlets VM-4,Num. Cloudlets VM-5,Num. Cloudlets VM-6,Num. Cloudlets VM-7,Num. Cloudlets VM-8,Num. Cloudlets VM-9,Processing Time VM-0,Processing Time VM-1,Processing Time VM-2,Processing Time VM-3,Processing Time VM-4,Processing Time VM-5,Processing Time VM-6,Processing Time VM-7,Processing Time VM-8,Processing Time VM-9
MWOA_Broker Trial 11,6.129577018297754,31.11000023841858,1.788466667683919,0.7988674542636376,50.0,3,3,3,3,3,2,2,4,3,4,9.857999999999997,23.87766659418742,22.43,23.21,31.211000165939332,21.21,30.21,26.101000165939332,30.21,30.21
MWOA_Broker Trial 12,5.050128682045928,31.11,1.7433333333333327,0.8234908386274613,50.0,3,2,3,2,3,3,3,5,3,3,13.710999927520751,26.820999927520752,28.710999927520753,25.21,31.210999927520753,28.211000165939332,30.211000165939332,26.710999927520753,26.21,19.18099992752075
MWOA_Broker Trial 13,5.094923380084596,31.11099992752075,1.774744425434536,0.7739063358523571,50.0,5,4,4,2,3,1,3,4,2,2,31.210999927520753,28.211000165939332,26.43099992752075,19.210999927520753,27.651,15.210999927520751,16.210999927520753,26.210999927520753,26.210999927520753,24.210999927520753
MWOA_Broker Trial 14,7.852592874598477,30.44333333333333,2.2979444302664844,0.7055414432561973,50.0,8,2,4,2,3,2,3,2,2,2,29.442999999999998,30.543333333333333,26.460999927520753,27.18899992752075,16.711000165939332,18.1,30.210999927520753,13.709999999999999,7.211000165939331,15.210999927520751
MWOA_Broker Trial 15,5.342804349645953,30.44233340581258,1.842488872294955,0.8447490855457731,50.0,4,3,2,3,3,3,2,4,3,3,24.210999927520753,30.543333333333333,12.431,27.210999927520753,20.210999927520753,28.211000165939332,30.210999927520753,27.71,26.210999927520753,30.210999927520753
MWOA_Broker Trial 16,3.7812826184724577,33.10999976158142,1.8408333295186352,0.8074036089305894,50.0,4,2,2,3,2,3,3,5,3,3,21.100999927520753,26.544333260854085,21.210999927520753,30.21,23.710999927520753,30.21,33.21099992752075,27.711000165939332,28.210999927520753,25.210999927520753
MWOA_Broker Trial 17,4.541994924125417,30.445333188374835,1.7305222325854828,0.8170524262310245,50.0,3,3,3,2,2,3,3,5,3,3,22.601000165939332,30.545333188374837,18.851000165939332,27.100999927520753,17.212000093460084,28.210999927520753,30.211000165939332,28.710999927520753,21.1,24.210999927520753
MWOA_Broker Trial 18,4.848441643330871,31.11099992752075,1.8721888833575775,0.8326754756827682,50.0,3,3,2,3,4,1,3,4,4,3,22.600999927520753,23.767666832606,21.210999927520753,27.210999927520753,29.211000165939332,15.209999999999999,28.210999927520753,31.210999927520753,30.21,30.21
MWOA_Broker Trial 19,4.312037786761769,31.10999976158142,1.8368999834060666,0.8023433027934453,50.0,4,2,3,3,4,3,2,3,2,4,29.210999927520753,26.820999927520752,23.710999927520753,30.210999927520753,31.210999927520753,23.101000165939332,16.21,23.710999927520753,24.210999927520753,21.210999927520753
MWOA_Broker Trial 20,7.166583020268004,33.11099992752075,2.034105554856194,0.699828357726304,50.0,5,2,3,5,2,2,3,2,3,3,29.8785,19.76666666666667,21.210999927520753,28.21,9.6,30.211000165939332,16.21,17.21,26.211000165939332,33.212000093460084
MWOA_Broker Trial 21,6.060175964244153,31.11100016593933,1.902077779494391,0.7313865366670669,50.0,4,2,2,1,4,2,7,3,2,3,17.210999927520753,12.877666832605996,22.431,15.209999999999999,31.211000165939332,23.210999927520753,30.756999999999998,29.210999927520753,24.210999927520753,21.210999927520753
MWOA_Broker Trial 22,7.242372438992823,33.11100016593933,1.9219777715471054,0.708250024359844,50.0,2,5,2,1,4,2,5,4,2,3,9.710999927520751,28.891666533152264,18.96,19.18,14.210999927520751,33.21100016593933,28.211000165939332,27.71,24.210999927520753,30.212000093460084
MWOA_Broker Trial 23,4.490059606262582,30.11,1.7286222191068858,0.8507561166012234,50.0,3,3,4,2,4,1,3,3,3,4,29.210999927520753,22.87766659418742,30.21,23.211000165939332,22.21,15.21100016593933,27.1,27.710999927520753,28.210999927520753,30.21
MWOA_Broker Trial 24,6.934373880344796,31.11099992752075,1.7821888722949557,0.7949856981314716,50.0,2,3,3,3,3,3,2,4,3,4,6.321000000000001,28.210999927520753,22.43,27.100999927520753,29.211000165939332,23.21,21.210999927520753,31.210999927520753,30.211000165939332,28.210999927520753
MWOA_Broker Trial 25,6.572683965823815,30.11099992752075,1.7783777611838443,0.7821250270403828,50.0,3,2,4,3,4,3,1,4,3,3,9.108666832605996,19.21,30.210999927520753,23.21,26.711999855041505,30.210999927520753,16.21,24.210999927520753,30.210999927520753,26.210999927520753
MWOA_Broker Trial 26,4.851123604848522,31.11099992752075,1.9058888778262666,0.813174335095211,50.0,5,4,3,3,3,2,2,3,2,3,28.601999855041505,23.76766659418742,21.211000165939332,30.211000165939332,31.210999927520753,30.211000165939332,26.21,26.21,19.142,16.210999927520753
MWOA_Broker Trial 27,6.452547182575857,33.11,1.7868999754587804,0.736931439621216,50.0,2,4,3,3,3,2,3,3,3,4,8.710999927520751,28.210999927520753,25.210999927520753,18.210999927520753,29.211000165939332,23.100999927520753,26.21,27.710999927520753,24.210999927520753,33.21
MWOA_Broker Trial 28,5.625181719206406,33.11,1.8601777794943908,0.7408466737728567,50.0,6,3,2,3,2,3,2,5,2,2,23.45699992752075,25.543333333333333,26.43,27.21,13.709999999999999,33.21100016593933,15.21100016593933,29.100999927520753,26.21,25.211000165939332
MWOA_Broker Trial 29,6.0543216223064995,31.22099992752075,1.7836888899061412,0.7679777524674382,50.0,4,3,4,1,3,2,2,3,3,5,31.320999927520752,26.544333260854085,27.96,10.209999999999999,23.71,21.210999927520753,18.211000165939332,22.211000165939332,30.212000093460084,28.18
MWOA_Broker Trial 30,5.734631461161694,31.862500072479243,1.7665611207750105,0.7412585307485119,50.0,4,3,3,2,4,3,2,4,3,2,31.963499999999996,22.820999927520752,21.210999927520753,25.101000165939332,22.710999927520753,27.101000165939332,28.210999927520753,27.710999927520753,10.210999927520751,19.142

