Trial ID,DOI,Makespan,Avg. Response Time,Mean Utilization,Avg. Iteration Count,Num. Cloudlets VM-0,Num. Cloudlets VM-1,Num. Cloudlets VM-2,Num. Cloudlets VM-3,Num. Cloudlets VM-4,Num. Cloudlets VM-5,Num. Cloudlets VM-6,Num. Cloudlets VM-7,Num. Cloudlets VM-8,Num. Cloudlets VM-9,Num. Cloudlets VM-10,Num. Cloudlets VM-11,Num. Cloudlets VM-12,Num. Cloudlets VM-13,Num. Cloudlets VM-14,Num. Cloudlets VM-15,Num. Cloudlets VM-16,Num. Cloudlets VM-17,Num. Cloudlets VM-18,Num. Cloudlets VM-19,Processing Time VM-0,Processing Time VM-1,Processing Time VM-2,Processing Time VM-3,Processing Time VM-4,Processing Time VM-5,Processing Time VM-6,Processing Time VM-7,Processing Time VM-8,Processing Time VM-9,Processing Time VM-10,Processing Time VM-11,Processing Time VM-12,Processing Time VM-13,Processing Time VM-14,Processing Time VM-15,Processing Time VM-16,Processing Time VM-17,Processing Time VM-18,Processing Time VM-19
WOA_Broker Trial 11,15.942371855286407,49.41099992752075,0.24939142712184334,0.5159909455397985,50.0,1,2,2,1,2,2,1,1,2,1,2,1,2,1,4,1,1,12,0,11,1.4100000000000001,48.263999948501585,47.17066661516826,16.153000020980837,46.233999948501584,34.168666760126754,11.23957135609218,27.203000020980838,36.26300002098083,17.202000093460086,14.287000093460081,15.311999855041503,7.252000093460083,8.27866652170817,23.152000093460085,32.20299978256226,33.30300002098084,42.30400018692017,-1.0,49.51300002098083
WOA_Broker Trial 12,11.533883444131385,49.07800002098084,0.18975714285714282,0.6907177879288626,50.0,1,2,1,1,5,1,3,1,1,2,1,3,5,1,11,1,1,1,7,1,32.20300002098084,48.26300002098083,24.27866652170817,29.153000020980837,47.25399994850159,42.24633335431417,41.22728549684797,19.201000165939334,23.201999855041507,43.38166678110758,45.30300002098084,44.51300002098083,10.250999927520752,17.202000093460086,49.17899994850159,20.201999855041507,27.203000020980838,34.61200009346008,38.30300002098084,40.80300002098084
WOA_Broker Trial 13,11.970371120370427,49.26200009346008,0.21199523809523804,0.6660467539833788,50.0,2,1,2,2,2,1,2,2,2,1,1,1,6,2,6,7,1,7,1,1,33.30300002098084,27.152000093460085,41.24633335431417,31.228000020980836,46.333999948501585,25.279666687647502,24.240571283612933,48.20399994850159,44.363000020980834,21.268666760126752,16.150999927520754,20.200999927520755,49.363000020980834,45.4796666876475,10.28600016593933,42.30400018692017,43.60399994850159,36.20300002098084,35.603000020980836,14.402000093460083
WOA_Broker Trial 14,14.959902273022061,49.077000093460086,0.23625238095238124,0.6357892879429665,50.0,1,2,2,2,1,1,1,2,1,6,0,1,2,2,1,13,1,5,5,1,32.202000093460086,48.263999948501585,44.20300002098084,49.17800002098084,18.252000093460083,13.245333188374836,20.117285496847973,28.401999855041506,34.30300002098084,46.30499987602234,-1.0,15.313000020980834,47.20400018692017,4.31,21.228000020980836,39.613999948501586,43.60399994850159,42.30300002098084,36.20300002098084,40.80200009346009
WOA_Broker Trial 15,9.776118237682361,49.41200009346008,0.20834761904761875,0.7176220431775002,50.0,1,2,3,2,3,3,2,4,1,3,2,2,2,7,2,5,1,1,1,3,32.20300002098084,47.20299978256226,37.20199985504151,42.26300002098083,38.253000020980835,35.18633335431417,39.27014287812369,49.51300002098083,29.203000020980838,43.3796666876475,40.38800002098083,46.719000053405765,41.26300002098083,45.4796666876475,31.227000093460084,10.400999927520752,24.411999855041504,21.601999855041505,28.403000020980837,25.612000093460082
WOA_Broker Trial 16,14.741989090349655,49.41200033187866,0.20952380952380933,0.5711027840217742,50.0,1,1,2,2,3,1,2,1,2,3,1,1,2,1,8,1,7,1,9,1,32.20199985504151,27.153000020980837,47.169666687647506,41.238000020980834,28.271999855041503,21.295333426793416,48.22928559030805,9.312000093460082,38.20300002098084,13.278666760126749,14.287000093460081,17.402000093460085,25.411999855041504,1.2776665941874188,45.30300002098084,37.51300002098083,43.603000020980836,15.31099992752075,49.514000186920164,8.41099992752075
WOA_Broker Trial 17,14.222106854096898,49.41300002098083,0.2381714285714282,0.6063403410170045,50.0,1,1,2,2,1,2,1,1,1,1,8,2,5,1,2,6,1,6,1,5,2.200999927520752,20.152000093460085,38.168666521708175,32.238000020980834,28.272000093460083,18.13533342679342,8.23957135609218,26.202000093460086,22.362000093460082,33.168666760126754,48.238000020980834,49.513999948501585,47.20400018692017,1.277666832605998,45.30300002098084,40.80300002098084,24.413000020980835,37.51300002098083,39.613000020980834,36.20400018692017
WOA_Broker Trial 18,11.903404197167562,49.101999616622926,0.21282857142857148,0.7216958048532984,50.0,1,2,3,2,2,2,5,2,2,2,2,4,2,2,2,7,1,4,1,2,8.41099992752075,48.26300002098083,49.20299978256226,19.237000093460082,37.16300002098084,42.24633335431417,39.27014287812369,47.30400018692017,41.26300002098083,40.33533342679342,45.30300002098084,44.51300002098083,31.353000020980836,34.34633335431417,25.201999855041507,32.202000093460086,33.30300002098084,46.70299978256226,7.510999927520752,35.601999855041505
WOA_Broker Trial 19,12.659687112444704,49.41200009346008,0.2340619047619043,0.6861668449497049,50.0,1,2,3,2,2,3,2,2,2,1,5,3,1,4,1,7,2,1,4,2,26.203000020980838,41.26300002098083,48.24833320935567,47.26300002098083,42.253000020980835,38.24633335431417,44.14585716383798,24.412000093460083,37.363000020980834,35.3796666876475,33.263999948501585,32.20400018692017,34.30399994850159,9.244333499272663,8.150999927520752,46.01300002098083,16.412000093460083,17.401999855041506,46.81300002098084,49.51300002098083
WOA_Broker Trial 20,11.204867281094748,49.41200009346008,0.22562857142857112,0.7124799533288114,50.0,2,2,2,3,2,1,2,2,1,4,2,6,1,3,4,2,3,1,5,2,41.20300002098084,47.20400018692017,32.24633335431417,42.26300002098083,23.251999855041504,10.152000093460083,37.14485699789865,49.51300002098083,18.201000165939334,48.24633311589559,43.228000020980836,39.613000020980834,21.369999980926515,45.47966644922892,29.153000020980837,44.51300002098083,30.612000093460082,22.402000093460085,46.70300002098084,31.601999855041505
WOA_Broker Trial 21,14.697745220879536,49.4119998550415,0.2552476190476189,0.6015309586699666,50.0,1,1,2,1,3,2,3,1,2,2,1,4,1,3,1,7,1,8,2,4,26.203000020980838,20.15399994850159,32.24733328183492,22.287000093460083,44.16399994850159,42.24633335431417,41.2282856627873,27.203000020980838,48.264000186920164,8.277666832605997,10.287000093460081,13.412000093460081,14.250999927520752,25.34633335431417,1.150999927520752,40.80300002098084,33.30200009346009,47.30300002098084,49.51300002098083,46.81399994850159
WOA_Broker Trial 22,15.493117831316043,49.04685709135873,0.24649523809523788,0.6542527849162332,50.0,1,2,2,1,2,1,2,2,2,1,6,1,2,1,1,4,6,1,10,2,32.20399994850159,48.263999948501585,41.24833344777425,22.287000093460083,43.20300002098084,10.150999927520752,49.14685709135873,47.30300002098084,17.361999855041503,21.270666615168256,36.238000020980834,38.30300002098084,37.36499987602234,0.2,4.175999927520752,13.413000020980833,42.30300002098084,44.515000114440916,46.013999948501585,46.81399994850159
WOA_Broker Trial 23,11.306573438657573,49.04485723631723,0.21018190331231965,0.7229523103989817,50.0,1,2,3,3,2,2,4,3,2,3,2,1,2,3,3,7,1,2,2,2,32.20199985504151,41.26300002098083,47.169666687647506,48.237999782562255,25.292000093460082,38.24633335431417,49.14585716383798,42.30200009346009,44.363000020980834,10.312000093460082,34.20300002098084,7.510999927520752,39.30300002098084,37.20299978256226,46.34399994850158,46.013999948501585,30.612000093460082,29.413000020980835,28.403000020980837,31.602000093460084
