Trial ID,DOI,Makespan,Avg. Response Time,Mean Utilization,Avg. Iteration Count,Num. Cloudlets VM-0,Num. Cloudlets VM-1,Num. Cloudlets VM-2,Num. Cloudlets VM-3,Num. Cloudlets VM-4,Num. Cloudlets VM-5,Num. Cloudlets VM-6,Num. Cloudlets VM-7,Processing Time VM-0,Processing Time VM-1,Processing Time VM-2,Processing Time VM-3,Processing Time VM-4,Processing Time VM-5,Processing Time VM-6,Processing Time VM-7
MWOA_Broker Trial 17,3.0446134509324008,20.11100016593933,1.2627833369572954,0.8053925669078483,50.0,1,2,2,3,2,3,3,4,11.21100016593933,20.211000165939332,13.102000093460083,16.211000165939332,17.210999927520753,19.71,18.210999927520753,13.710999927520751
MWOA_Broker Trial 18,3.696842460979941,21.112000093460082,1.3061666666666665,0.7333447759343987,50.0,1,2,2,3,1,3,3,5,11.209999999999999,14.210999927520751,13.100999927520752,19.602000093460084,10.211999855041503,16.6,21.212000093460084,17.710999927520753
MWOA_Broker Trial 19,2.4912722295618113,21.11000023841858,1.4814500025749204,0.8041034975970826,50.0,2,2,2,3,2,2,3,4,16.320999927520752,15.209999999999999,13.10100016593933,17.43099992752075,15.209999999999999,20.102000093460084,21.211000165939332,17.210999927520753
MWOA_Broker Trial 20,4.119720069900793,20.112000093460082,1.3686166702906288,0.7729154204271615,50.0,1,1,2,3,2,4,3,4,10.210999927520751,9.1,13.10100016593933,14.710999927520751,18.100999927520753,20.212000093460084,19.21,19.713000020980836
MWOA_Broker Trial 21,4.772489350941476,21.11000023841858,1.3419999761581418,0.7093577214668504,50.0,1,1,2,4,2,3,3,4,6.21,9.1,16.543333333333333,19.600999927520753,16.21,13.709999999999999,21.211000165939332,17.210999927520753
MWOA_Broker Trial 22,3.6458605802746367,21.11,1.4003999834060668,0.7651409282892139,50.0,1,2,3,2,2,2,4,4,10.210999927520751,17.71,13.821999855041502,12.85100016593933,21.1,15.102000093460083,21.21,17.210999927520753
MWOA_Broker Trial 23,3.9129130913941355,21.11099992752075,1.4338833416302996,0.7525934355695033,50.0,2,2,2,2,2,3,3,4,21.210999927520753,14.210999927520751,13.1,7.85,17.21,17.71,16.210999927520753,19.600999927520753
MWOA_Broker Trial 24,4.040777648059089,19.61,1.3267833131154376,0.7930158924614717,50.0,2,2,3,3,1,3,2,4,11.21100016593933,17.710999927520753,16.544333260854085,19.71,15.210999927520751,19.6,7.21,17.210999927520753
MWOA_Broker Trial 25,4.084209027741353,20.11,2.1765666775385535,0.7552668662840268,50.0,4,2,2,2,1,3,3,3,8.169,17.712000093460084,16.544333260854085,12.85,10.210999927520751,19.6,16.211000165939332,20.21
MWOA_Broker Trial 26,3.6276535947147135,21.11,1.3350166775385535,0.7348768344596348,50.0,1,2,2,3,1,4,3,4,11.211999855041503,15.210999927520751,13.100999927520752,16.351000165939332,10.209999999999999,19.600999927520753,21.21,17.21
MWOA_Broker Trial 27,5.369609684801158,25.987000072479244,2.3806833416302995,0.5686064182098999,50.0,5,3,2,2,2,2,1,3,26.087999999999997,17.713000020980836,13.82099992752075,12.85100016593933,17.10600004196167,9.709999999999999,7.211000165939331,13.710999927520751
MWOA_Broker Trial 28,2.908088929883868,19.666666666666668,1.3124333027203876,0.8206186406491166,50.0,3,2,2,3,1,3,2,4,18.320999927520752,14.210999927520751,19.76766659418742,18.966999969482423,10.210999927520751,15.210999927520751,15.210999927520751,17.210999927520753
MWOA_Broker Trial 29,5.09660393237516,19.61,1.3510666500727333,0.7873618880157951,50.0,1,2,3,3,2,4,2,3,3.21,15.210999927520751,17.545333426793416,19.710999927520753,15.210999927520751,19.710999927520753,19.210999927520753,13.710999927520751
MWOA_Broker Trial 30,3.7571724053089857,21.11,1.4697333286603291,0.7753454113240004,50.0,2,2,3,3,2,2,3,3,16.210999927520753,17.210999927520753,17.544333499272664,12.850999927520752,17.210999927520753,8.6,21.210999927520753,20.100999927520753

